T_EN6,V_RELATED
-2.98,0.00949435763888889
-2.96,0.009053548177083334
-2.94,0.009528266059027778
-2.92,0.010782877604166668
-2.9,0.010443793402777778
-2.88,0.010477701822916668
-2.86,0.010545518663194444
-2.84,0.009528266059027778
-2.82,0.01040988498263889
-2.8,0.010443793402777778
-2.78,0.011732313368055556
-2.76,0.011155870225694446
-2.74,0.011732313368055556
-2.72,0.011562771267361112
-2.7,0.010952419704861112
-2.68,0.011155870225694446
-2.66,0.0115966796875
-2.64,0.010986328125
-2.62,0.011461046006944446
-2.6,0.011257595486111112
-2.58,0.011732313368055556
-2.56,0.011427137586805556
-2.54,0.011766221788194446
-2.52,0.011223687065972222
-2.5,0.011969672309027778
-2.48,0.01129150390625
-2.46,0.01132541232638889
-2.44,0.012173122829861112
-2.42,0.0103759765625
-2.4,0.01007080078125
-2.38,0.011562771267361112
-2.36,0.011562771267361112
-2.34,0.008985731336805556
-2.32,0.009426540798611112
-2.3,0.008782280815972222
-2.28,0.009358723958333334
-2.26,0.009087456597222222
-2.24,0.008782280815972222
-2.22,0.009223090277777778
-2.2,0.008511013454861112
-2.18,0.008138020833333334
-2.16,0.006646050347222223
-2.14,0.006273057725694445
-2.12,0.005933973524305556
-2.1,0.005832248263888889
-2.08,0.006374782986111111
-2.06,0.005018446180555556
-2.04,0.005221896701388889
-2.02,0.003933376736111111
-2.,0.004611545138888889
-1.98,0.0048828125
-1.96,0.0042724609375
-1.94,0.0036282009548611114
-1.92,0.0030178493923611114
-1.9,0.00244140625
-1.88,0.0036282009548611114
-1.86,0.003153483072916667
-1.84,0.0019666883680555555
-1.82,0.00396728515625
-1.8,0.003662109375
-1.78,0.003153483072916667
-1.76,0.0034925672743055555
-1.74,0.002543131510416667
-1.72,0.0035264756944444445
-1.7,0.0035264756944444445
-1.68,0.0029161241319444445
-1.66,0.0042724609375
-1.64,0.004035101996527778
-1.62,0.00335693359375
-1.6,0.0032212999131944445
-1.58,0.003696017795138889
-1.56,0.004916720920138889
-1.54,0.0032891167534722225
-1.52,0.005594889322916667
-1.5,0.0035942925347222225
-1.48,0.00457763671875
-1.46,0.004374186197916667
-1.44,0.00457763671875
-1.42,0.005594889322916667
-1.4,0.005018446180555556
-1.38,0.0054931640625
-1.36,0.006103515625
-1.34,0.006306966145833334
-1.32,0.006273057725694445
