T_EN6,V_RELATED
-3.,0.
-2.99,0.
-2.98,0.
-2.97,0.
-2.96,0.
-2.95,0.
-2.94,0.
-2.93,0.
-2.92,0.
-2.91,0.
-2.9,0.
-2.89,0.
-2.88,0.
-2.87,0.
-2.86,0.
-2.85,0.
-2.84,0.
-2.83,0.
-2.82,0.
-2.81,0.
-2.8,0.
-2.79,0.
-2.78,0.
-2.77,0.
-2.76,0.
-2.75,0.
-2.74,0.
-2.73,0.
-2.7199999999999998,0.
-2.71,0.
-2.7,0.
-2.69,0.
-2.68,0.
-2.67,0.
-2.66,0.
-2.65,0.
-2.64,0.
-2.63,0.
-2.62,0.
-2.61,0.
-2.6,0.
-2.59,0.
-2.58,0.
-2.57,0.
-2.56,0.
-2.55,0.
-2.54,0.
-2.53,0.
-2.52,0.
-2.51,0.
-2.5,0.
-2.49,0.
-2.48,0.
-2.4699999999999998,0.
-2.46,0.
-2.45,0.
-2.44,0.
-2.4299999999999997,0.
-2.42,0.
-2.41,0.
-2.4,0.
-2.39,0.
-2.38,0.
-2.37,0.
-2.36,0.
-2.35,0.
-2.34,0.
-2.33,0.
-2.32,0.
-2.31,0.
-2.3,0.
-2.29,0.
-2.2800000000000002,0.
-2.27,0.
-2.26,0.
-2.25,0.
-2.24,0.
-2.23,0.
-2.2199999999999998,0.
-2.21,0.
-2.2,0.
-2.19,0.
-2.1799999999999997,0.
-2.17,0.
-2.16,0.
-2.15,0.
-2.14,0.
-2.13,0.
-2.12,0.
-2.11,0.
-2.1,0.
-2.09,0.
-2.08,0.
-2.07,0.
-2.06,0.
-2.05,0.
-2.04,0.
-2.0300000000000002,0.
-2.02,0.
-2.01,0.
-2.,0.
-1.99,0.
-1.98,0.
-1.97,0.
-1.96,0.
-1.95,0.
-1.94,0.
-1.93,0.
-1.92,0.
-1.91,0.
-1.9,0.
-1.89,0.
-1.88,0.
-1.8699999999999999,0.
-1.8599999999999999,0.
-1.8499999999999999,0.
-1.84,0.
-1.83,0.
-1.82,0.
-1.81,0.
-1.8,0.
-1.79,0.
-1.78,0.
-1.77,0.
-1.76,0.
-1.75,0.
-1.74,0.
-1.73,0.
-1.72,0.
-1.71,0.
-1.7,0.
-1.69,0.
-1.68,0.
-1.67,0.
-1.66,0.
-1.65,0.
-1.64,0.
-1.63,0.
-1.6199999999999999,0.
-1.6099999999999999,0.
-1.5999999999999999,0.
-1.59,0.
-1.58,0.
-1.57,0.
-1.56,0.
-1.55,0.
-1.54,0.
-1.53,0.
-1.52,0.
-1.51,0.
-1.5,0.
-1.49,0.
-1.48,0.
-1.47,0.
-1.46,0.
-1.45,0.
-1.44,0.
-1.43,0.
-1.42,0.
-1.41,0.
-1.4,0.
-1.39,0.
-1.38,0.
-1.3699999999999999,0.
-1.3599999999999999,0.
-1.3499999999999999,0.
-1.3399999999999999,0.
-1.33,0.
-1.32,0.
-1.31,0.
-1.3,0.
-1.29,0.
-1.28,0.
-1.27,0.
-1.26,0.
-1.25,0.
-1.24,0.
-1.23,0.
-1.22,0.
-1.21,0.
-1.2,0.
-1.19,0.
-1.18,0.
-1.17,0.
-1.16,0.
-1.15,0.
-1.14,0.
-1.13,0.
-1.1199999999999999,0.
-1.1099999999999999,0.
-1.0999999999999999,0.
-1.0899999999999999,0.
-1.08,0.
-1.07,0.
-1.06,0.
-1.05,0.
-1.04,0.
-1.03,0.
-1.02,0.
-1.01,0.
-1.,0.
-0.9899999999999998,0.
-0.98,0.
-0.9699999999999998,0.
-0.96,0.
-0.9500000000000002,0.
-0.94,0.
-0.9300000000000002,0.
-0.9199999999999999,0.
-0.9100000000000001,0.
-0.8999999999999999,0.
-0.8900000000000001,0.
-0.8799999999999999,0.
-0.8700000000000001,0.
-0.8599999999999999,0.
-0.8500000000000001,0.
-0.8399999999999999,0.
-0.8300000000000001,0.
-0.8199999999999998,0.
-0.81,0.
-0.7999999999999998,0.
-0.79,0.
-0.7799999999999998,0.
-0.77,0.
-0.7599999999999998,0.
-0.75,0.
-0.7399999999999998,0.
-0.73,0.
-0.7199999999999998,0.
-0.71,0.
-0.6999999999999997,0.
-0.69,0.
-0.6800000000000002,0.
-0.6699999999999999,0.
