STRIKER_V,V_MAX
0.,0.
0.01,0.0089
0.02,0.0178
0.03,0.026699999999999998
0.04,0.0356
0.05,0.044500000000000005
0.06,0.053399999999999996
0.07,0.06230000000000001
0.08,0.0712
0.09,0.0801
0.1,0.08900000000000001
0.11,0.0979
0.12,0.10679999999999999
0.13,0.11570000000000001
0.14,0.12460000000000002
0.15,0.1335
0.16,0.1424
0.17,0.15130000000000002
0.18,0.1602
0.19,0.1691
0.2,0.17800000000000002
0.21,0.18689999999999998
0.22,0.1958
0.23,0.20470000000000002
0.24,0.21359999999999998
0.25,0.2225
0.26,0.23140000000000002
0.27,0.2403
0.28,0.24920000000000003
0.29,0.2581
0.3,0.267
0.31,0.2759
0.32,0.2848
0.33,0.2937
0.34,0.30260000000000004
0.35000000000000003,0.31150000000000005
0.36,0.3204
0.37,0.3293
0.38,0.3382
0.39,0.3471
0.4,0.35600000000000004
0.41000000000000003,0.36490000000000006
0.42,0.37379999999999997
0.43,0.3827
0.44,0.3916
0.45,0.4005
0.46,0.40940000000000004
0.47000000000000003,0.4183
0.48,0.42719999999999997
0.49,0.4361
0.5,0.445
0.51,0.4539
0.52,0.46280000000000004
0.53,0.4717
0.54,0.4806
0.55,0.48950000000000005
0.56,0.49840000000000007
0.5700000000000001,0.5073000000000001
0.58,0.5162
0.59,0.5251
0.6,0.534
0.61,0.5429
0.62,0.5518
0.63,0.5607
0.64,0.5696
0.65,0.5785
0.66,0.5874
0.67,0.5963
0.68,0.6052000000000001
0.6900000000000001,0.6141000000000001
0.7000000000000001,0.6230000000000001
0.71,0.6319
0.72,0.6408
0.73,0.6496999999999999
0.74,0.6586
0.75,0.6675
0.76,0.6764
0.77,0.6853
0.78,0.6942
0.79,0.7031000000000001
0.8,0.7120000000000001
