PULSE_ENERGY_EN3,MOMENTUM_GAIN_EN6
0.,0.
0.002,0.031898450711359036
0.004,0.06379690142271807
0.006,0.0956953521340771
0.008,0.12759380284543614
0.01,0.15949225355679517
0.012,0.1913907042681542
0.014,0.22328915497951324
0.016,0.2551876056908723
0.018000000000000002,0.28708605640223134
0.02,0.31898450711359033
0.022,0.3508829578249493
0.024,0.3827814085363084
0.026000000000000002,0.4146798592476675
0.028,0.4465783099590265
0.03,0.47847676067038547
0.032,0.5103752113817446
0.034,0.5422736620931036
0.036000000000000004,0.5741721128044627
0.038,0.6060705635158216
0.04,0.6379690142271807
0.042,0.6698674649385398
0.044,0.7017659156498987
0.046,0.7336643663612578
0.048,0.7655628170726168
0.05,0.7974612677839759
0.052000000000000005,0.829359718495335
0.054,0.8612581692066938
0.056,0.893156619918053
0.058,0.925055070629412
0.06,0.9569535213407709
0.062,0.98885197205213
0.064,1.0207504227634892
0.066,1.052648873474848
0.068,1.0845473241862071
0.07,1.1164457748975662
0.07200000000000001,1.1483442256089254
0.074,1.1802426763202842
0.076,1.2121411270316431
0.078,1.2440395777430022
0.08,1.2759380284543613
0.082,1.3078364791657204
0.084,1.3397349298770795
0.08600000000000001,1.3716333805884384
0.088,1.4035318312997973
0.09,1.4354302820111564
0.092,1.4673287327225155
0.094,1.4992271834338746
0.096,1.5311256341452335
0.098,1.5630240848565926
0.1,1.5949225355679517
0.10200000000000001,1.6268209862793108
0.10400000000000001,1.65871943699067
0.106,1.6906178877020286
0.108,1.7225163384133877
0.11,1.7544147891247468
0.112,1.786313239836106
0.114,1.818211690547465
0.116,1.850110141258824
0.11800000000000001,1.882008591970183
0.12,1.9139070426815419
0.122,1.945805493392901
0.124,1.97770394410426
0.126,2.009602394815619
0.128,2.0415008455269783
0.13,2.073399296238337
0.132,2.105297746949696
0.134,2.1371961976610554
0.136,2.1690946483724143
0.138,2.2009930990837736
0.14,2.2328915497951325
0.14200000000000002,2.2647900005064914
0.14400000000000002,2.2966884512178507
0.146,2.328586901929209
0.148,2.3604853526405685
0.15,2.3923838033519274
0.152,2.4242822540632862
0.154,2.4561807047746456
0.156,2.4880791554860044
0.158,2.5199776061973638
0.16,2.5518760569087227
0.162,2.5837745076200815
0.164,2.615672958331441
0.166,2.6475714090427998
0.168,2.679469859754159
0.17,2.711368310465518
0.17200000000000001,2.743266761176877
0.17400000000000002,2.775165211888236
0.176,2.8070636625995946
0.178,2.838962113310954
0.18,2.870860564022313
0.182,2.9027590147336717
0.184,2.934657465445031
0.186,2.96655591615639
0.188,2.9984543668677492
0.19,3.030352817579108
0.192,3.062251268290467
0.194,3.0941497190018263
0.196,3.126048169713185
0.198,3.1579466204245445
0.2,3.1898450711359034
0.202,3.2217435218472623
0.20400000000000001,3.2536419725586216
0.20600000000000002,3.2855404232699805
0.20800000000000002,3.31743887398134
0.21,3.3493373246926983
0.212,3.381235775404057
0.214,3.4131342261154165
0.216,3.4450326768267754
0.218,3.4769311275381347
0.22,3.5088295782494936
0.222,3.5407280289608525
0.224,3.572626479672212
0.226,3.6045249303835707
0.228,3.63642338109493
0.23,3.668321831806289
0.232,3.700220282517648
0.234,3.732118733229007
0.23600000000000002,3.764017183940366
0.23800000000000002,3.7959156346517253
0.24,3.8278140853630838
0.242,3.8597125360744426
0.244,3.891610986785802
0.246,3.923509437497161
0.248,3.95540788820852
0.25,3.987306338919879
0.252,4.019204789631238
0.254,4.051103240342597
0.256,4.083001691053957
0.258,4.1149001417653155
0.26,4.146798592476674
0.262,4.178697043188033
0.264,4.210595493899392
0.266,4.242493944610752
0.268,4.274392395322111
0.27,4.30629084603347
0.272,4.338189296744829
0.274,4.370087747456187
0.276,4.401986198167547
0.278,4.433884648878906
0.28,4.465783099590265
0.28200000000000003,4.497681550301624
0.28400000000000003,4.529580001012983
0.28600000000000003,4.5614784517243425
0.28800000000000003,4.593376902435701
0.29,4.625275353147059
0.292,4.657173803858418
0.294,4.689072254569777
0.296,4.720970705281137
0.298,4.752869155992496
0.3,4.784767606703855
0.302,4.816666057415214
0.304,4.8485645081265725
0.306,4.880462958837932
0.308,4.912361409549291
0.31,4.94425986026065
0.312,4.976158310972009
0.314,5.008056761683368
0.316,5.0399552123947275
0.318,5.071853663106086
0.32,5.103752113817445
0.322,5.135650564528804
0.324,5.167549015240163
0.326,5.199447465951523
0.328,5.231345916662882
0.33,5.263244367374241
0.332,5.2951428180855995
0.334,5.327041268796958
0.336,5.358939719508318
0.338,5.390838170219677
0.34,5.422736620931036
0.342,5.454635071642395
0.34400000000000003,5.486533522353754
0.34600000000000003,5.5184319730651135
0.34800000000000003,5.550330423776472
0.35000000000000003,5.582228874487831
0.352,5.614127325199189
0.354,5.646025775910548
0.356,5.677924226621908
0.358,5.709822677333267
0.36,5.741721128044626
0.362,5.7736195787559845
0.364,5.805518029467343
0.366,5.837416480178703
0.368,5.869314930890062
0.37,5.901213381601421
0.372,5.93311183231278
0.374,5.965010283024139
0.376,5.9969087337354985
0.378,6.028807184446857
0.38,6.060705635158216
0.382,6.092604085869575
0.384,6.124502536580934
0.386,6.156400987292294
0.388,6.188299438003653
0.39,6.220197888715012
0.392,6.25209633942637
0.394,6.283994790137729
0.396,6.315893240849089
0.398,6.347791691560448
0.4,6.379690142271807
0.402,6.411588592983166
0.404,6.443487043694525
0.406,6.475385494405884
0.40800000000000003,6.507283945117243
0.41000000000000003,6.539182395828602
0.41200000000000003,6.571080846539961
0.41400000000000003,6.60297929725132
0.41600000000000004,6.63487774796268
0.418,6.666776198674038
