PULSE_ENERGY_EN3,MOMENTUM_GAIN_EN6
0.,0.
0.002,0.06171626241906413
0.004,0.12343252483812826
0.006,0.1851487872571924
0.008,0.24686504967625653
0.01,0.30858131209532064
0.012,0.3702975745143848
0.014,0.4320138369334489
0.016,0.49373009935251305
0.018000000000000002,0.5554463617715772
0.02,0.6171626241906413
0.022,0.6788788866097054
0.024,0.7405951490287696
0.026000000000000002,0.8023114114478338
0.028,0.8640276738668978
0.03,0.9257439362859619
0.032,0.9874601987050261
0.034,1.0491764611240904
0.036000000000000004,1.1108927235431545
0.038,1.1726089859622184
0.04,1.2343252483812825
0.042,1.296041510800347
0.044,1.3577577732194108
0.046,1.419474035638475
0.048,1.481190298057539
0.05,1.5429065604766032
0.052000000000000005,1.6046228228956676
0.054,1.6663390853147315
0.056,1.7280553477337957
0.058,1.7897716101528598
0.06,1.8514878725719237
0.062,1.913204134990988
0.064,1.9749203974100522
0.066,2.0366366598291163
0.068,2.0983529222481807
0.07,2.1600691846672446
0.07200000000000001,2.221785447086309
0.074,2.283501709505373
0.076,2.345217971924437
0.078,2.406934234343501
0.08,2.468650496762565
0.082,2.5303667591816295
0.084,2.592083021600694
0.08600000000000001,2.6537992840197577
0.088,2.7155155464388216
0.09,2.7772318088578856
0.092,2.83894807127695
0.094,2.9006643336960143
0.096,2.962380596115078
0.098,3.0240968585341426
0.1,3.0858131209532065
0.10200000000000001,3.147529383372271
0.10400000000000001,3.209245645791335
0.106,3.2709619082103987
0.108,3.332678170629463
0.11,3.394394433048527
0.112,3.4561106954675913
0.114,3.5178269578866557
0.116,3.5795432203057196
0.11800000000000001,3.641259482724784
0.12,3.7029757451438474
0.122,3.764692007562912
0.124,3.826408269981976
0.126,3.88812453240104
0.128,3.9498407948201044
0.13,4.011557057239169
0.132,4.073273319658233
0.134,4.134989582077297
0.136,4.196705844496361
0.138,4.258422106915425
0.14,4.320138369334489
0.14200000000000002,4.381854631753554
0.14400000000000002,4.443570894172618
0.146,4.505287156591681
0.148,4.567003419010746
0.15,4.62871968142981
0.152,4.690435943848874
0.154,4.7521522062679376
0.156,4.813868468687002
0.158,4.875584731106066
0.16,4.93730099352513
0.162,4.999017255944195
0.164,5.060733518363259
0.166,5.122449780782323
0.168,5.184166043201388
0.17,5.2458823056204515
0.17200000000000001,5.3075985680395155
0.17400000000000002,5.369314830458579
0.176,5.431031092877643
0.178,5.492747355296707
0.18,5.554463617715771
0.182,5.616179880134836
0.184,5.6778961425539
0.186,5.739612404972964
0.188,5.801328667392029
0.19,5.8630449298110925
0.192,5.924761192230156
0.194,5.98647745464922
0.196,6.048193717068285
0.198,6.109909979487349
0.2,6.171626241906413
0.202,6.233342504325478
0.20400000000000001,6.295058766744542
0.20600000000000002,6.356775029163606
0.20800000000000002,6.41849129158267
0.21,6.480207554001733
0.212,6.541923816420797
0.214,6.603640078839862
0.216,6.665356341258926
0.218,6.72707260367799
0.22,6.788788866097054
0.222,6.850505128516119
0.224,6.912221390935183
0.226,6.9739376533542465
0.228,7.035653915773311
0.23,7.097370178192375
0.232,7.159086440611439
0.234,7.220802703030504
0.23600000000000002,7.282518965449568
0.23800000000000002,7.344235227868632
0.24,7.405951490287695
0.242,7.46766775270676
0.244,7.529384015125824
0.246,7.5911002775448875
0.248,7.652816539963952
0.25,7.714532802383016
0.252,7.77624906480208
0.254,7.837965327221145
0.256,7.899681589640209
0.258,7.961397852059273
0.26,8.023114114478338
0.262,8.0848303768974
0.264,8.146546639316465
0.266,8.20826290173553
0.268,8.269979164154593
0.27,8.331695426573658
0.272,8.393411688992723
0.274,8.455127951411786
0.276,8.51684421383085
0.278,8.578560476249915
0.28,8.640276738668978
0.28200000000000003,8.701993001088043
0.28400000000000003,8.763709263507108
0.28600000000000003,8.825425525926171
0.28800000000000003,8.887141788345236
0.29,8.948858050764299
0.292,9.010574313183362
0.294,9.072290575602427
0.296,9.134006838021492
0.298,9.195723100440555
0.3,9.25743936285962
0.302,9.319155625278682
0.304,9.380871887697747
0.306,9.442588150116812
0.308,9.504304412535875
0.31,9.56602067495494
0.312,9.627736937374005
0.314,9.689453199793068
0.316,9.751169462212133
0.318,9.812885724631197
0.32,9.87460198705026
0.322,9.936318249469325
0.324,9.99803451188839
0.326,10.059750774307453
0.328,10.121467036726518
0.33,10.183183299145583
0.332,10.244899561564646
0.334,10.30661582398371
0.336,10.368332086402775
0.338,10.430048348821838
0.34,10.491764611240903
0.342,10.553480873659966
0.34400000000000003,10.615197136079031
0.34600000000000003,10.676913398498096
0.34800000000000003,10.738629660917159
0.35000000000000003,10.800345923336224
0.352,10.862062185755287
0.354,10.92377844817435
0.356,10.985494710593414
0.358,11.04721097301248
0.36,11.108927235431542
0.362,11.170643497850607
0.364,11.232359760269672
0.366,11.294076022688735
0.368,11.3557922851078
0.37,11.417508547526865
0.372,11.479224809945928
0.374,11.540941072364992
0.376,11.602657334784057
0.378,11.66437359720312
0.38,11.726089859622185
0.382,11.78780612204125
0.384,11.849522384460313
0.386,11.911238646879378
0.388,11.97295490929844
0.39,12.034671171717505
0.392,12.09638743413657
0.394,12.158103696555633
0.396,12.219819958974698
0.398,12.281536221393763
0.4,12.343252483812826
0.402,12.40496874623189
0.404,12.466685008650956
0.406,12.528401271070019
0.40800000000000003,12.590117533489083
0.41000000000000003,12.651833795908148
0.41200000000000003,12.713550058327211
0.41400000000000003,12.775266320746276
0.41600000000000004,12.83698258316534
0.418,12.898698845584402
0.42,12.960415108003467
0.422,13.022131370422532
0.424,13.083847632841595
0.426,13.14556389526066
